square_feet,bedrooms,bathrooms,year_built,garage_cars,neighborhood_rating,price
3328,4,1.0,2016,3,7.5,913740.0
2197,3,1.0,2005,1,3.6,584460.0
2624,5,2.5,2018,0,5.6,774920.0
3552,2,1.5,1998,0,7.2,900960.0
2692,4,3.0,1979,1,7.1,768860.0
4039,2,1.0,2008,3,4.1,917120.0
3351,4,3.0,1971,0,3.4,785380.0
2785,3,1.5,1986,0,5.7,726000.0
3316,4,1.0,2014,2,3.3,804180.0
2086,3,1.0,2000,0,7.7,660980.0
2378,3,2.5,1990,1,8.5,739540.0
3317,4,3.0,1978,0,8.6,917660.0
1903,5,2.5,2003,3,8.3,694640.0
2029,5,1.0,1992,3,8.8,698620.0
3569,3,2.0,2023,3,5.6,915020.0
2793,4,1.5,1997,0,7.2,793140.0
3318,5,1.0,1970,2,4.0,784240.0
4123,5,1.5,1997,2,5.2,997540.0
2352,4,3.5,1980,0,3.7,629860.0
1425,2,1.5,2017,3,6.8,530900.0
1682,4,2.5,2018,0,9.3,682860.0
3823,5,2.0,1972,2,3.9,887040.0
2028,3,3.5,2012,3,5.7,644940.0
2691,3,2.0,1984,0,4.9,692680.0
3382,3,3.0,2006,1,5.4,867960.0
3956,4,3.5,1973,1,8.4,1027680.0
3266,2,3.0,2016,1,5.5,846580.0
3006,5,3.5,1973,0,4.0,761680.0
3202,2,1.5,2014,1,4.6,792160.0
3240,4,2.0,2011,1,4.7,833900.0
1611,2,3.0,2015,2,4.8,529980.0
1149,4,2.5,2020,0,6.8,526820.0
2153,2,2.0,1982,2,8.3,663440.0
1845,4,3.0,1986,2,8.7,664800.0
3001,3,1.0,1993,1,6.0,774780.0
1848,2,2.5,1974,0,7.6,587440.0
2759,4,2.0,2022,1,7.7,835520.0
2558,4,2.5,2023,0,7.8,809040.0
2360,5,3.0,1986,3,4.8,675000.0
1407,3,2.5,1975,0,9.2,564260.0
1515,5,2.5,2013,3,8.6,644300.0
3920,4,1.5,2005,1,6.4,985600.0
2089,4,2.0,1980,3,6.2,627020.0
2564,2,3.5,1996,1,5.9,712220.0
2560,4,2.5,1976,0,6.1,710500.0
3408,2,2.5,2014,0,7.2,906240.0
3634,5,2.0,2007,2,5.9,945020.0
1886,4,3.5,2000,2,3.1,554980.0
3377,3,3.0,1991,2,8.7,931560.0
3803,3,3.5,1990,3,8.3,1003040.0
1545,3,1.0,1999,2,9.4,604900.0
3161,3,1.0,2009,2,3.0,747780.0
1428,2,2.5,1994,0,7.8,540840.0
2422,2,3.0,1978,2,8.7,729060.0
1396,3,1.0,2003,1,4.8,467880.0
4181,3,3.5,1980,2,6.6,1016580.0
1759,5,3.0,2014,3,3.5,567920.0
2980,4,3.5,1985,1,3.5,743900.0
3272,3,1.5,1985,1,3.3,752460.0
1299,3,3.0,2016,2,4.5,482520.0
3192,4,3.5,1996,1,5.1,835260.0
2438,4,1.0,1986,0,4.4,640040.0
3678,2,2.0,2022,2,7.2,958440.0
3623,4,1.0,1992,3,5.9,898040.0
3931,5,3.5,2021,3,7.4,1070780.0
3935,3,2.5,2015,3,5.0,962300.0
3744,3,3.5,1973,0,9.0,989520.0
3673,3,2.5,2000,1,8.7,989640.0
1203,4,2.0,2010,3,5.6,488540.0
2314,4,1.0,1998,1,7.6,712120.0
3191,2,1.5,1977,0,5.2,760780.0
3837,2,3.0,1997,2,8.4,999060.0
2492,4,1.0,1996,1,5.0,676760.0
3509,3,2.0,1982,2,8.9,937520.0
3521,5,2.5,2020,0,3.8,893780.0
1320,3,3.0,2002,3,7.1,534500.0
3529,4,1.5,2016,2,4.7,885920.0
1084,2,3.0,2002,3,7.9,497020.0
2658,5,1.0,1999,0,3.7,692740.0
3876,4,2.5,2006,1,3.7,923380.0
2375,5,2.5,2010,2,6.0,730500.0
2531,5,3.5,2004,3,3.0,688380.0
